date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:50	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Aug%202019%2016:09:18%20GMT	http://recordatirarediseases.com.mx/robots.txt		(from )
11:03:50	10070/10070	---M-Z	200	added ('OK')	text/html	etag:%2265a0070-2756-555f001d4c5fe-gzip%22	http://recordatirarediseases.com.mx/	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/index.html	(from )
11:03:50	124180/124180	---M--	200	added ('OK')	text/css	etag:%2265a0084-1e514-54f2e82e9bec0%22	http://recordatirarediseases.com.mx/css/materialize.min.css	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/css/materialize.min.css	(from http://recordatirarediseases.com.mx/)
11:03:52	11021/11021	---M--	200	added ('OK')	text/css	etag:%2265a0080-2b0d-54f40834e47c0%22	http://recordatirarediseases.com.mx/css/main.css	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/css/main.css	(from http://recordatirarediseases.com.mx/)
11:03:53	1193/1193	---M--	200	added ('OK')	image/png	etag:%2265a008d-4a9-54d87c32d4180%22	http://recordatirarediseases.com.mx/icon.png	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/icon.png	(from http://recordatirarediseases.com.mx/)
11:03:53	10070/10070	---M-Z	200	added ('OK')	text/html	etag:%2265a0070-2756-555f001d4c5fe-gzip%22	http://recordatirarediseases.com.mx/index.html	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/index-2.html	(from http://recordatirarediseases.com.mx/)
11:03:53	14139/14139	---M-Z	200	added ('OK')	text/html	etag:%2265a0076-373b-555f007546a66-gzip%22	http://recordatirarediseases.com.mx/grupo.html	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/grupo.html	(from http://recordatirarediseases.com.mx/)
11:03:53	6378/6378	---M-Z	200	added ('OK')	text/html	etag:%2265a007a-18ea-555f00868c189-gzip%22	http://recordatirarediseases.com.mx/recordati_mexico.html	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/recordati_mexico.html	(from http://recordatirarediseases.com.mx/)
11:03:54	6750/6750	---M-Z	200	added ('OK')	text/html	etag:%2265a0072-1a5e-555f006420b2d-gzip%22	http://recordatirarediseases.com.mx/acerca_de_nosotros.html	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/acerca_de_nosotros.html	(from http://recordatirarediseases.com.mx/)
11:03:54	8292/8292	---M-Z	200	added ('OK')	text/html	etag:%2265a0074-2064-555f006d00752-gzip%22	http://recordatirarediseases.com.mx/contacto.html	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/contacto.html	(from http://recordatirarediseases.com.mx/)
11:03:54	2403/2403	---M--	200	added ('OK')	image/jpeg	etag:%2265a0095-963-54d8756753980%22	http://recordatirarediseases.com.mx/img/bandera.jpg	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/img/bandera.jpg	(from http://recordatirarediseases.com.mx/)
11:03:55	6989/6989	---M--	200	added ('OK')	image/png	etag:%2265a00a5-1b4d-54dafb3571ec0%22	http://recordatirarediseases.com.mx/img/flecha.png	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/img/flecha.png	(from http://recordatirarediseases.com.mx/)
11:03:57	38027/38027	---M--	200	added ('OK')	image/png	etag:%2265a00af-948b-54d8c77e7e680%22	http://recordatirarediseases.com.mx/img/logo_recordati.png	C:/My%20Web%20Sites/Recordati%20pagin/recordatirarediseases.com.mx/img/logo_recordati.png	(from http://recordatirarediseases.com.mx/)
